Jornada 1,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Sociedad,2 - 0,Getafe,Anoeta,17 de agosto,19:00,Canal+ Liga y Gol T
Real Valladolid,1 - 2,Athletic Club,José Zorrilla,,21:00,Canal+ Liga y Gol T
Valencia,1 - 0,Málaga,Mestalla,,23:00,Canal+ Liga y Gol T
Barcelona,7 - 0,Levante,Camp Nou,18 de agosto,19:00,Canal+ Liga y Gol T
Real Madrid,2 - 1,Real Betis,Santiago Bernabéu,,21:00,Canal+
Osasuna,1 - 2,Granada,El Sadar,,,Canal+ Liga y Gol T
Sevilla,1 - 3,Atlético de Madrid,Ramón Sánchez Pizjuán,,23:00,Canal+ Liga y Gol T
Rayo Vallecano,3 - 0,Elche,Campo de Fútbol de Vallecas,19 de agosto,20:00,Canal+ Liga y Gol T
Celta de Vigo,2 - 2,Espanyol,Balaídos,,22:00,Cuatro
Almería,2 - 3,Villarreal,Estadio de los Juegos Mediterráneos,,,Canal+ Liga y Gol T
Jornada 2,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Getafe,2 - 2,Almería,Coliseum Alfonso Pérez,23 de agosto,20:00,Canal+ Liga y Gol T
Athletic Club,2 - 0,Osasuna,Anoeta,,22:00,Cuatro
Elche,1 - 1,Real Sociedad,Manuel Martínez Valero,24 de agosto,19:00,Canal+ Liga y Gol T
Español,3 - 1,Valencia,Cornellá-El Prat,,21:00,Canal+ Liga y Gol T
Villarreal,2 - 1,Real Valladolid,El Madrigal,,23:00,Canal+ Liga y Gol T
Atlético de Madrid,5 - 0,Rayo Vallecano,Vicente Calderón,25 de agosto,19:00,Canal+ Liga y Gol T
Málaga,0 - 1,Barcelona,La Rosaleda,,21:00,Canal+
Levante,0 - 0,Sevilla,Ciudad de Valencia,,,Canal+ Liga y Gol T
Real Betis,1 - 2,Celta de Vigo,Benito Villamarín,,23:00,Canal+ Liga y Gol T
Granada,0 - 1,Real Madrid,Nuevo Los Cármenes,26 de agosto,21:00,Canal+ Liga y Gol T
Jornada 3,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Rayo Vallecano,1 - 2,Levante,Campo de Fútbol de Vallecas,30 de agosto,23:00,Cuatro
Almería,2 - 2,Elche,Estadio de los Juegos Mediterráneos,,,Canal+ Liga y Gol T
Celta de Vigo,1 - 1,Granada,Balaídos,31 de agosto,19:00,Canal+ Liga y Gol T
Real Valladolid,1 - 0,Getafe,José Zorrilla,,21:00,Canal+ Liga y Gol T
Osasuna,0 - 3,Villarreal,El Sadar,,23:00,Canal+ Liga y Gol T
Real Madrid ,3 - 1,Athletic Club,Santiago Bernabéu,1 de septiembre,12:00,Canal+ Liga y Gol T
Español,0 - 0,Real Betis Balompié,Cornellá-El Prat,,17:00,Canal+ Liga y Gol T
Real Sociedad,1 - 2,Atlético de Madrid,Anoeta,,19:00,Canal+ Liga y Gol T
Sevilla,2 - 2,Málaga,Ramón Sánchez Pizjuán,,21:00,Canal+ Liga y Gol T
Valencia,2 - 3,Barcelona,Mestalla,,,Canal+ 1
Jornada 4,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Atlético de Madrid,4 - 2,Almería,Vicente Calderón,14 de septiembre,16:00,Canal+ Liga y Gol T
Levante,0 - 0,Real Sociedad,Ciudad de Valencia,,18:00,Canal+ Liga y Gol T
Barcelona,3 - 2,Sevilla,Camp Nou,,20:00,Canal+ Liga y Gol T
Villarreal,2 - 2,Real Madrid,El Madrigal,,22:00,Canal+ 1
Granada,0 - 1,Español,Nuevo Los Cármenes,15 de septiembre,12:00,Canal+ Liga y Gol T
Getafe,2 - 1,Osasuna,Coliseum Alfonso Pérez,,17:00,Canal+ Liga y Gol T
Málaga,5 - 0,Rayo Vallecano,La Rosaleda,,19:00,Canal+ Liga y Gol T
Real Betis Balompié,3 - 1,Valencia,Benito Villamarín,,21:00,Canal+ Liga y Gol T
Elche,0 - 0,Real Valladolid,Manuel Martínez Valero,16 de septiembre,20:00,Canal+ Liga y Gol T
Athletic Club,3 - 2,Celta de Vigo,San Mamés,,22:00,Cuatro
Jornada 5,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Osasuna,2 - 1,Elche,El Sadar,20 de septiembre,21:00,Canal+ Liga y Gol T
Real Sociedad,0 - 0,Málaga,Anoeta,21 de septiembre,16:00,Canal+ Liga y Gol T
Almería,2 - 2,Levante,Juegos Mediterráneos,,18:00,Canal+ Liga y Gol T
Rayo Vallecano,0 - 4,Barcelona,Campo de Fútbol de Vallecas,,20:00,Canal+ Liga y Gol T
Real Valladolid,0 - 2,Atlético de Madrid,José Zorrilla,,22:00,Canal+ Liga y Gol T
Real Betis Balompié,0 - 0,Granada,Benito Villamarín,22 de septiembre,12:00,Canal+ Liga y Gol T
