Jornada 1,,,,,,
Real Murcia C. F.,2 - 1,Deportivo Alavés,Nueva Condomina,,,TBA
A. D. Alcorcón,0 - 1,S. D. Ponferradina,Santo Domingo,,21:00,TBA
Jornada 6,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
R. C. Recreativo de Huelva,3 - 0,"F. C. Barcelona ""B""",Nuevo Colombino,20 de septiembre,21:00,Esport3
C. D. Tenerife,0 - 1,C. D. Lugo,Heliodoro Rodríguez López,21 de septiembre,18:00,TV Canaria y TVG
C. D. Numancia,3 - 1,C. E. Sabadell F. C.,Los Pajaritos,,,TBA
S. D. Eibar,0 - 0,Real Murcia C. F.,Ipurúa,,,TBA
Real Madrid Castilla C. F.,1 - 2,Real Zaragoza,Alfredo Di Stéfano,,18:15,LaSexta
Deportivo Alavés,3 - 0,Real Sporting de Gijón,Mendizorroza,22 de septiembre,12:00,Canal+ 1
Girona F. C.,0 - 2,U. D. Las Palmas,Montilivi,,17:00,Esport3 y TV Canaria
R. C. D. Mallorca,1 - 0,C. D. Mirandés,Iberostar Estadi,,,TBA
S. D. Ponferradina,5 - 1,Hércules C. F.,El Toralín,,,TBA
R. C. Deportivo de La Coruña,1 - 0,A. D. Alcorcón,Riazor,,18:15,LaSexta
Real Jaén C. F.,0 - 0,Córdoba C. F.,La Victoria,,21:00,TBA
Jornada 7,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
C. D. Lugo,3 - 0,U. D. Las Palmas,Anxo Carro,28 de septiembre,18:00,TV Canaria y TVG
C. E. Sabadell F. C.,3 - 0,Real Jaén C. F.,Nova Creu Alta,,,Esport3
Real Sporting de Gijón,3 - 2,S. D. Eibar,El Molinón,,,telecable
A. D. Alcorcón,2 - 0,Deportivo Alavés,Santo Domingo,,18:15,LaSexta
Hércules C. F.,0 - 2,R. C. Deportivo de La Coruña,José Rico Pérez,29 de septiembre,12:00,Canal+ 1
"F. C. Barcelona ""B""",0 - 1,R. C. D. Mallorca,Mini Estadi,,17:00,Esport3
C. D. Mirandés,1 - 0,S. D. Ponferradina,Anduva,,,TBA
C. D. Tenerife,1 - 0,Real Madrid Castilla C. F.,Heliodoro Rodríguez López,,,Televisión Canaria
Córdoba C. F.,2 - 0,Girona F. C.,Nuevo Arcángel,,,TBA
Real Zaragoza,1 - 2,R. C. Recreativo de Huelva,La Romareda,,18:15,LaSexta
Real Murcia C. F.,2 - 1,C. D. Numancia de Soria,Nueva Condomina,,21:00,TBA
Jornada 8,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
C. D. Numancia de Soria,0 - 0,Real Sporting de Gijón,Los Pajaritos,5 de octubre,18:00,Telecable
U. D. Las Palmas,2 - 0,Córdoba C. F.,Gran Canaria,,,Televisión Canaria
R. C. Deportivo de La Coruña,0 - 0,C. D. Mirandés,Riazor,,18:15,LaSexta
R. C. D. Mallorca,2 - 4,Real Zaragoza,Iberostar Estadio,6 de octubre,12:00,Canal+ 1
Girona F. C.,1 - 1,C. E. Sabadell,Montilivi,,17:00,Esport3
