Jornada 1,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Girona,1 - 0,Alavés,Montilivi,16 de agosto,21:00,Esport3
Mirandés,2 - 1,Barcelona B,Anduva,17 de agosto,19:00,Esport3
Las Palmas,0 - 1,Deportivo de la Coruña,Gran Canaria,,,TV Canaria
Hércules,1 - 1,Real Zaragoza,José Rico Pérez,,,Canal+ 1
Córdoba,1 - 0,Ponferradina,Nuevo Arcángel,,21:00,TBA
Lugo,0 - 0,Numancia de Soria,Anxo Carro,,,TBA
Sabadell,4 - 0,Mallorca,Nova Creu Alta,18 de agosto,19:00,Esport3
Real Sporting de Gijón,1 - 0,Real Madrid Castilla,El Molinón,,,Telecable
Alcorcón,1 - 0,Tenerife,Santo Domingo,,,TV Canaria
Jaén,1 - 2,Eibar,La Victoria,,,TBA
Murcia,2 - 3,Recreativo de Huelva,Nueva Condomina,,21:00,Teledeporte
Jornada 2,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,0 - 0,Mirandés,La Romareda,24 de agosto,19:00,TBA
Eibar,0 - 3,Girona,Ipurúa,,,Esport3
Alavés,1 - 1,Las Palmas,Mendizorroza,,,Canal+ 1
Deportivo de la Coruña,0 - 1,Córdoba,Riazor,,,TBA
Real Madrid Castilla,0 - 1,Alcorcón,Alfredo Di Stéfano,,21:00,Teledeporte
Barcelona B,2 - 1,Lugo,Mini Estadi,,,Esport3
Ponferradina,2 - 0,Sabadell,El Toralín,25 de agosto,19:00,Esport3
Tenerife,0 - 0,Hércules,Heliodoro Rodríguez López,,,Televisión Canaria
Recreativo de Huelva,1 - 1,Real Sporting de Gijón,Nuevo Colombino,,,Telecable
Numancia de Soria,4 - 2,Jaén,Los Pajaritos,,21:00,TBA
Mallorca,2 - 4,Murcia,Iberostar Estadio,,,TBA
Jornada 3,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Hércules,2 - 1,Real Madrid Castilla,José Rico Pérez,31 de agosto,19:00,Real Madrid TV
Las Palmas,1 - 1,Eibar,Gran Canaria,,,Televisión Canaria
Girona,2 - 2,Numancia de Soria,Montilivi,,,Esport3
Barcelona B,1 - 0,Real Zaragoza,Mini Estadi,,21:00,Esport3
Real Sporting de Gijón,3 - 0,Mallorca,El Molinón,1 de septiembre,12:00,Canal+ 1
Sabadell,0 - 3,Deportivo de la Coruña,Nova Creu Alta,,17:00,Esport3
Murcia,2 - 2,Ponferradina,Nueva Condomina,,18:00,TBA
Mirandés,2 - 0,Tenerife,Anduva,,,Televisión Canaria
Córdoba,1 - 1,Alavés,Nuevo Arcángel,,,TBA
Lugo,4 - 2,Jaén,Anxo Carro,,,TBA
Alcorcón,3 - 0,Recreativo de Huelva,Santo Domingo,,21:00,Teledeporte
Jornada 4,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,0 - 1,Lugo,La Romareda,7 de septiembre,18:00,laSexta
Alavés,1 - 1,Sabadell,Mendizorroza,,,Esport3
Mallorca,2 - 1,Alcorcón,Iberostar Estadio,,,TBA
Numancia de Soria,1 - 1,Las Palmas,Los Pajaritos,,20:00,Televisión Canaria
Deportivo de La Coruña,0 - 1,Murcia,Riazor,8 de septiembre,12:00,Canal+ 1
Ponferradina,2 - 2,Real Sporting de Gijón,El Toralín,,17:00,Telecable
Tenerife,2 - 2,Barcelona B,Heliodoro Rodríguez López,,18:00,TV Canaria y Esport3
Real Madrid Castilla,0 - 1,Mirandés,Alfredo Di Stéfano,,,laSexta
Jaén,3 - 1,Girona,La Victoria,,,TBA
Eibar,1 - 0,Córdoba,Ipurúa,,,TBA
Recreativo de Huelva,2 - 0,Hércules,Nuevo Colombino,,21:00,TBA
Jornada 5,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Lugo,1 - 2,Girona,Anxo Carro,14 de septiembre,18:00,Esport3
Mirandés,0 - 3,Recreativo de Huelva,Anduva,,,TBA
Real Zaragoza,3 - 0,Tenerife,Heliodoro Rodríguez López,,,Televisión Canaria
Córdoba,3 - 1,Numancia de Soria,Nuevo Arcángel,,,LaSexta
Sabadell,1 - 0,Eibar,Nova Creu Alta,,20:00,Esport3
Barcelona B,2 - 0,Real Madrid Castilla,Mini Estadi,15 de septiembre,12:00,Canal+ 1
Real Sporting de Gijón,2 - 0,Deportivo de La Coruña,El Molinón,,17:00,Telecable
Las Palmas,1 - 0,Jaén,Gran Canaria,,18:00,Televisión Canaria
Hércules,2 - 2,Mallorca,José Rico Pérez,,,LaSexta
Murcia,2 - 1,Alavés,Nueva Condomina,,,TBA
Alcorcón,0 - 1,Ponferradina,Santo Domingo,,21:00,TBA
Jornada 6,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Recreativo de Huelva,3 - 0,Barcelona B,Nuevo Colombino,20 de septiembre,21:00,Esport3
Tenerife,0 - 1,Lugo,Heliodoro Rodríguez López,21 de septiembre,18:00,TV Canaria y TVG
Numancia,3 - 1,Sabadell,Los Pajaritos,,,TBA
Eibar,0 - 0,Murcia,Ipurúa,,,TBA
Real Madrid Castilla,1 - 2,Real Zaragoza,Alfredo Di Stéfano,,18:15,LaSexta
Alavés,3 - 0,Real Sporting de Gijón,Mendizorroza,22 de septiembre,12:00,Canal+ 1
Girona,0 - 2,Las Palmas,Montilivi,,17:00,Esport3 y TV Canaria
Mallorca,1 - 0,Mirandés,Iberostar Estadi,,,TBA
Ponferradina,5 - 1,Hércules,El Toralín,,,TBA
Deportivo de La Coruña,1 - 0,Alcorcón,Riazor,,18:15,LaSexta
Jaén,0 - 0,Córdoba,La Victoria,,21:00,TBA
Jornada 7,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Lugo,3 - 0,Las Palmas,Anxo Carro,28 de septiembre,18:00,TV Canaria y TVG
Sabadell,3 - 0,Jaén,Nova Creu Alta,,,Esport3
Real Sporting de Gijón,3 - 2,Eibar,El Molinón,,,telecable
Alcorcón,2 - 0,Alavés,Santo Domingo,,18:15,LaSexta
Hércules,0 - 2,Deportivo de La Coruña,José Rico Pérez,29 de septiembre,12:00,Canal+ 1
Barcelona B,0 - 1,Mallorca,Mini Estadi,,17:00,Esport3
Mirandés,1 - 0,Ponferradina,Anduva,,,TBA
Tenerife,1 - 0,Real Madrid Castilla,Heliodoro Rodríguez López,,,Televisión Canaria
Córdoba,2 - 0,Girona,Nuevo Arcángel,,,TBA
Real Zaragoza,1 - 2,Recreativo de Huelva,La Romareda,,18:15,LaSexta
Murcia,2 - 1,Numancia de Soria,Nueva Condomina,,21:00,TBA
Jornada 8,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Numancia de Soria,0 - 0,Real Sporting de Gijón,Los Pajaritos,5 de octubre,18:00,Telecable
Las Palmas,2 - 0,Córdoba,Gran Canaria,,,Televisión Canaria
Deportivo de La Coruña,0 - 0,Mirandés,Riazor,,18:15,LaSexta
Mallorca,2 - 4,Real Zaragoza,Iberostar Estadio,6 de octubre,12:00,Canal+ 1
Girona,1 - 1,Sabadell,Montilivi,,17:00,Esport3
Ponferradina,1 - 0,Barcelona B,El Toralín,,,TBA
Recreativo de Huelva,2 - 1,Tenerife,Nuevo Colombino,,,Televisión Canaria
Eibar,0 - 0,Alcorcón,Ipurúa,,,TBA
Jaén,3 - 2,Murcia,La Victoria,,,TBA
Real Madrid Castilla,2 - 0,Lugo,Alfredo di Stéfano,,18:15,LaSexta
Alavés,3 - 1,Hércules,Mendizorroza,,21:00,TBA
Jornada 9,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Mirandés,2 - 3,Alavés,Anduva,12 de octubre,18:00,ETB
Lugo,1 - 0,Córdoba,Anxo Carro,,,TVG
Murcia,1 - 0,Girona,Nueva Condomina,,,Esport3
Real Madrid Castilla,1 - 2,Recreativo de Huelva,Alfredo di Stéfano,,18:15,LaSexta
Sabadell,0 - 0,Las Palmas,Nova Creu Alta,,20:00,Esport3
Barcelona B,0 - 1,Deportivo de La Coruña,Mini Estadi,13 de octubre,12:00,Canal+ 1
Real Sporting de Gijón,1 - 1,Jaén,El Molinón,,17:00,Telecable
Tenerife,0 - 1,Mallorca,Heliodoro Rodríguez López,,18:00,Televisión Canaria
Hércules,0 - 0,Eibar,José Rico Pérez,,,TBA
Real Zaragoza,2 - 1,Ponferradina,La Romareda,,18:15,LaSexta
Alcorcón,0 - 1,Numancia de Soria,Santo Domingo,,21:00,TBA
Jornada 10,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Ponferradina,0 - 1,Tenerife,El Toralín,19 de octubre,18:00,Televisión Canaria
Alavés,2 - 3,Barcelona B,Mendizorroza,,,Esport3 y ETB
Córdoba,1 - 0,Sabadell,Nuevo Arcángel,,,TBA
Recreativo de Huelva,3 - 3,Lugo,Nuevo Colombino,,18:15,LaSexta
Deportivo de La Coruña,1 - 1,Real Zaragoza,Riazor,20 de octubre,12:00,Canal+ 1
Eibar,1 - 0,Mirandés,Ipurúa,,17:00,TBA
Jaén,1 - 0,Alcorcón,La Victoria,,,TBA
Mallorca,2 - 0,Real Madrid Castilla,Iberostar Estadio,,18:15,LaSexta
Girona,2 - 1,Real Sporting de Gijón,Montilivi,,19:00,Esport3
Las Palmas,0 - 0,Murcia,Gran Canaria,,,Televisión Canaria
Numancia de Soria,1 - 1,Hércules,Los Pajaritos,,21:00,TBA
Jornada 11,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,2 - 2,Alavés,La Romareda,26 de octubre,18:15,LaSexta
Tenerife,2 - 0,Deportivo de La Coruña,Heliodoro Rodríguez López,,20:00,TV Canaria y TVG
Recreativo de Huelva,3 - 1,Mallorca,Nuevo Colombino,27 de octubre,12:00,Canal+ 1
Mirandés,0 - 0,Numancia de Soria,Anduva,,17:00,TBA
Hércules,0 - 1,Jaén,Rico Pérez,,,TBA
Barcelona B,0 - 2,Eibar,Mini Estadi,,,Esport3
Real Sporting de Gijón,2 - 3,Las Palmas,El Molinón,,,Televisión Canaria
Murcia,2 - 2,Córdoba,Nueva Condomina,,,TBA
Lugo,1 - 0,Sabadell,Anxo Carro,,,TBA
Real Madrid Castilla,1 - 1,Ponferradina,Alfredo di Stéfano,,18:15,LaSexta
Alcorcón,0 - 0,Girona,Santo Domingo,,21:00,Teledeporte
Jornada 12,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Eibar,3 - 2,Real Zaragoza,Ipurúa,2 de noviembre,18:00,ETB
Numancia de Soria,1 - 0,Barcelona B,Los Pajaritos,,,Esport3
Mallorca,0 - 0,Lugo,Iberostar Estadio,,18:15,LaSexta
Girona,2 - 2,Hércules,Montilivi,,20:00,Esport3
Las Palmas,1 - 0,Alcorcón,Gran Canaria,,,Televisión Canaria
Córdoba,2 - 2,Real Sporting de Gijón,Nuevo Arcángel,3 de noviembre,12:00,Canal+ 1
Jaén,1 - 2,Mirandés,La Victoria,,17:00,TBA
Sabadell,2 - 1,Murcia,Nova Creu Alta,,,Esport3
Alavés,2 - 2,Tenerife,Mendizorroza,,18:00,Televisión Canaria
Deportivo de La Coruña,2 - 0,Real Madrid Castilla,Riazor,,18:15,LaSexta
Ponferradina,3 - 1,Recreativo de Huelva,El Toralín,,21:00,Teledeporte
Jornada 13,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Barcelona B,0 - 3,Jaén,Mini Estadi,9 de noviembre,18:00,Esport3
Lugo,1 - 1,Murcia,Anxo Carro,,,TVG
Real Zaragoza,1 - 2,Numancia de Soria,La Romareda,,18:15,LaSexta
Alcorcón,0 - 0,Córdoba,Santo Domingo,,19:00,Teledeporte
Hércules,2 - 1,Las Palmas,José Rico Pérez,,20:00,Televisión Canaria
Recreativo de Huelva,0 - 1,Deportivo de La Coruña,Nuevo Colombino,10 de noviembre,12:00,Canal+ 1
Mirandés,1 - 2,Girona,Anduva,,17:00,TBA
Real Sporting de Gijón,3 - 1,Sabadell,El Molinón,,,Esport3
Mallorca,2 - 2,Ponferradina,Iberostar Estadio,,,TBA
Tenerife,2 - 0,Eibar,Heliodoro Rodríguez López,,18:00,Televisión Canaria
Real Madrid Castilla,1 - 0,Alavés,Alfredo di Stéfano,,18:15,LaSexta
,,,,,Jornada 14,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Ponferradina,0 - 2,Lugo,El Toralín,16 de noviembre,18:00,TVG
Alavés,3 - 3,Recreativo de Huelva,Mendizorroza,,,ETB
Girona,1 - 2,Barcelona B,Municipal de Montilivi,,,Esport3
Murcia,1 - 1,Real Sporting de Gijón,Nueva Condomina,,,Telecable
Jaén,3 - 0,Real Zaragoza,La Victoria,,18:15,LaSexta
Las Palmas,3 - 1,Mirandés,Gran Canaria,,20:00,Televisión Canaria
Sabadell,1 - 2,Alcorcón,Nova Creu Alta,,,Esport3
Deportivo de La Coruña,3 - 1,Mallorca,Riazor,17 de noviembre,12:00,Canal+ 1
Numancia de Soria,0 - 0,Tenerife,Los Pajaritos,,18:00,Televisión Canaria
Eibar,6 - 0,Real Madrid Castilla,Ipurúa,,18:15,LaSexta
Córdoba,4 - 2,Hércules,Nuevo Arcángel,,21:00,Teledeporte
Jornada 15,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Mallorca,2 - 1,Alavés,Iberostar Estadio,23 de noviembre,18:00,ETB
Barcelona B,1 - 2,Las Palmas,Mini Estadi,,,TV Canaria y Esport3
Real Madrid Castilla,0 - 0,Numancia de Soria,Alfredo di Stéfano,,18:15,LaSexta
Lugo,1 - 3,Real Sporting de Gijón,Anxo Carro,24 de noviembre,12:00,Canal+ 1
Mirandés,3 - 1,Córdoba,Anduva,,17:00,TBA
