Jornada 1,,,,,,
AD Alcorcón,2 - 0,Rayo Vallecano,Santo Domingo,3 de octubre,12:00,Canal+
CD Numancia,2 - 0,Elche CF,Los Pajaritos,,17:00,
Córdoba CF,2 - 0,FC Barcelona B,Nuevo Arcángel,,,
Granada CF,2 - 1,Girona FC,Nuevo Los Cármenes,,,
CD Tenerife,1 - 1,FC Cartagena,Heliodoro Rodríguez López,,18:00,
Valladolid,1 - 1,Albacete,José Zorrilla,4 de octubre,21:00,Gol T / C+ Liga
Jornada 7,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Rayo Vallecano,3 - 0,Villarreal B,Teresa Rivero,9 de octubre,16:00,Marca TV
FC Cartagena,2 - 2,Nàstic,Cartagonova,,18:00,7RM / El 33
UD Las Palmas,2 - 2,Real Betis,Gran Canaria,,,TVC / CS / LaOtra / tvG2 / ETB 1
Elche CF,1 - 0,Albacete,Martínez Valero,,,C9 2 / CMT
Celta de Vigo,3 - 0,AD Alcorcón,Balaídos,,20:00,Gol T / C+ Liga
CD Numancia,1 - 1,Córdoba CF,Los Pajaritos,10 de octubre,17:00,
Xerez CD,1 - 3,SD Huesca,Chapín,,,Gol T / C+ Liga
UD Salamanca,1 - 2,Granada CF,Helmántico,,,
Girona FC,0 - 0,Recreativo,Montilivi,,,
SD Ponferradina,1 - 1,Valladolid,El Toralín,,19:00,Gol T
FC Barcelona B,3 - 1,CD Tenerife,Mini Estadi,,21:00,Canal+
Jornada 8,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Recreativo,0 - 2,UD Salamanca,Nuevo Colombino,15 de octubre,21:00,Gol T / C+ Liga
Real Betis,2 - 1,Girona FC,Manuel Ruiz de Lopera,16 de octubre,16:00,Marca TV
Nàstic,1 - 1,FC Barcelona B,Nou Estadi,,18:00,El 33 / TVC
SD Huesca,0 - 0,FC Cartagena,El Alcoraz,,,ATV / 7RM
AD Alcorcón,3 - 1,Xerez CD,Santo Domingo,,,LaOtra / CS2 / ETB 1
Villarreal B,2 - 2,Celta de Vigo,Ciudad Deportiva,,,C9 2 / tvG2
Albacete,0 - 1,SD Ponferradina,Carlos Belmonte,,,CMT
Granada CF,1 - 1,Rayo Vallecano,Nuevo Los Cármenes,17 de octubre,12:00,Canal+
Córdoba CF,0 - 0,Elche CF,Nuevo Arcángel,,17:00,
Valladolid,3 - 0,UD Las Palmas,José Zorrilla,,,Gol T / C+ Liga
CD Tenerife,1 - 1,CD Numancia,Heliodoro Rodríguez López,,18:00,
Jornada 9,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,3 - 1,Villarreal B,Chapín,22 de octubre,21:00,Gol T / C+ Liga
Rayo Vallecano,0 - 0,Recreativo,Teresa Rivero,23 de octubre,16:00,Marca TV
Córdoba CF,2 - 2,CD Tenerife,Nuevo Arcángel,,18:00,TVC
FC Barcelona B,0 - 1,SD Huesca,Mini Estadi,,,ATV
FC Cartagena,1 - 0,AD Alcorcón,Cartagonova,,,7RM / LaOtra
Celta de Vigo,1 - 1,Granada CF,Balaídos,,,tvG2 / CS2 / ETB 1
Girona FC,2 - 0,Valladolid,Montilivi,,,El 33
Elche CF,2 - 0,SD Ponferradina,Martínez Valero,,,C9 2
UD Las Palmas,2 - 1,Albacete,Gran Canaria,,20:00,
UD Salamanca,0 - 3,Real Betis,Helmántico,24 de octubre,12:00,Canal+
CD Numancia,1 - 0,Nàstic,Los Pajaritos,,17:00,Gol T / C+ Liga
Jornada 10,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Recreativo,1 - 1,Celta de Vigo,Nuevo Colombino,29 de octubre,21:00,Gol T / C+ Liga
Valladolid,1 - 0,UD Salamanca,José Zorrilla,30 de octubre,16:00,Marca TV
SD Huesca,0 - 0,CD Numancia,El Alcoraz,,18:00,ATV / ETB 1
Villarreal B,2 - 0,FC Cartagena,Ciudad Deportiva,,,C9 2 / 7RM
Granada CF,5 - 0,Xerez CD,Nuevo Los Cármenes,,,CS2 / tvG2 / LaOtra
Albacete,1 - 1,Girona FC,Carlos Belmonte,,,CMT / El 33
SD Ponferradina,3 - 2,UD Las Palmas,El Toralín,,,TVC
Real Betis,4 - 0,Rayo Vallecano,Benito Villamarín,31 de octubre,12:00,Canal+
Nàstic,1 - 1,Córdoba CF,Nou Estadi,,17:00,
AD Alcorcón,1 - 3,FC Barcelona B,Santo Domingo,,,Gol T / C+ Liga
CD Tenerife,1 - 0,Elche CF,Heliodoro Rodríguez López,,18:00,
Jornada 11,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Elche CF,2 - 2,UD Las Palmas,Martínez Valero,5 de noviembre,21:00,Gol T / C+ Liga
CD Numancia,2 - 1,AD Alcorcón,Los Pajaritos,6 de noviembre,16:00,Marca TV
Córdoba CF,2 - 0,SD Huesca,Nuevo Arcángel,,18:00,ATV
FC Barcelona B,4 - 1,Villarreal B,Mini Estadi,,,El 33 / C9 2
FC Cartagena,2 - 1,Granada CF,Cartagonova,,,7RM
Xerez CD,1 - 1,Recreativo,Chapín,,,CS2
Rayo Vallecano,3 - 0,Valladolid,Teresa Rivero,,,LaOtra / ETB 1 / TVC / tvG2
UD Salamanca,1 - 0,Albacete,Helmántico,,,CMT
Girona FC,3 - 0,SD Ponferradina,Montilivi,,,Gol T / C+ Liga
Celta de Vigo,1 - 1,Real Betis,Balaídos,7 de noviembre,12:00,Canal+
CD Tenerife,0 - 2,Nàstic,Heliodoro Rodríguez López,,19:00,
Jornada 12,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Villarreal B,1 - 0,CD Numancia,Ciudad Deportiva,12 de noviembre,21:00,Gol T / C+ Liga
Granada CF,4 - 1,FC Barcelona B,Nuevo Los Cármenes,13 de noviembre,16:00,Marca TV
Nàstic,0 - 0,Elche CF,Nou Estadi,,18:00,El 33 / C9 2
SD Huesca,0 - 0,CD Tenerife,El Alcoraz,,,ATV / TVC
Real Betis,3 - 1,Xerez CD,Benito Villamarín,,,CS / 7RM / tvG2 / ETB 1
Albacete,1 - 1,Rayo Vallecano,Carlos Belmonte,,,CMT / LaOtra
UD Las Palmas,1 - 1,Girona FC,Gran Canaria,,,
Valladolid,3 - 2,Celta de Vigo,José Zorrilla,14 de noviembre,12:00,Canal+
Recreativo,3 - 0,FC Cartagena,Nuevo Colombino,,17:00,
SD Ponferradina,3 - 2,UD Salamanca,El Toralín,,,
AD Alcorcón,2 - 1,Córdoba CF,Santo Domingo,15 de noviembre,21:00,Gol T / C+ Liga
Jornada 13,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
FC Barcelona B,1 - 1,Recreativo,Mini Estadi,19 de noviembre,21:00,Gol T / C+ Liga
UD Salamanca,4 - 2,UD Las Palmas,Helmántico,20 de noviembre,16:00,Marca TV
Nàstic,0 - 0,SD Huesca,Nou Estadi,,18:00,ATV
FC Cartagena,2 - 1,Real Betis,Cartagonova,,,7RM / CS / TVC / tvG2 / ETB 1
Rayo Vallecano,3 - 1,SD Ponferradina,Teresa Rivero,,,LaOtra
Elche CF,0 - 0,Girona FC,Martínez Valero,,,C9 2 / El 33
Xerez CD,4 - 0,Valladolid,Chapín,21 de noviembre,12:00,Canal+
Córdoba CF,0 - 0,Villarreal B,Nuevo Arcángel,,17:00,
CD Numancia,3 - 2,Granada CF,Los Pajaritos,,,
Celta de Vigo,3 - 1,Albacete,Balaídos,,,Gol T / C+ Liga
CD Tenerife,1 - 0,AD Alcorcón,Heliodoro Rodríguez López,,18:00,
Jornada 14,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
SD Ponferradina,0 - 0,Celta de Vigo,El Toralín,26 de noviembre,21:00,Gol T / C+ Liga
SD Huesca,2 - 2,Elche CF,El Alcoraz,27 de noviembre,18:00,ATV / C9 2
Albacete,1 - 1,Xerez CD,Carlos Belmonte,,,CMT / CS2 / 7RM
UD Las Palmas,2 - 1,Rayo Vallecano,Gran Canaria,,,TVC / LaOtra / tvG2 / ETB 1 / El 33
Girona FC,1 - 1,UD Salamanca,Montilivi,,,
AD Alcorcón,1 - 1,Nàstic,Santo Domingo,28 de noviembre,12:00,
Granada CF,1 - 1,Córdoba CF,Nuevo Los Cármenes,,,Canal+
Villarreal B,0 - 2,CD Tenerife,Ciudad Deportiva,,17:00,
Recreativo,1 - 0,CD Numancia,Nuevo Colombino,,,
Valladolid,0 - 1,FC Cartagena,José Zorrilla,,,Gol T / C+ Liga
Real Betis,2 - 2,FC Barcelona B,Benito Villamarín,8 de diciembre,18:00,
Jornada 15,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,0 - 0,SD Ponferradina,Chapín,3 de diciembre,21:00,Gol T / C+ Liga
CD Numancia,1 - 2,Real Betis,Los Pajaritos,4 de diciembre,16:00,Marca TV
SD Huesca,3 - 1,AD Alcorcón,El Alcoraz,,18:00,ATV / LaOtra
Nàstic,1 - 2,Villarreal B,Nou Estadi,,,
