HERCULES C.F.,1 - 0 ,A.D. ALCORCON
R.C. DEPORTIVO DE LA CORUÑA,4 - 0 ,C.D. GUADALAJARA
F.C. CARTAGENA,1 - 2 ,C.D. ALCOYANO
VILLARREAL C.F. B,3 - 2 ,GIMNASTIC DE TARRAGONA
S.D. HUESCA,0 - 1 ,CORDOBA C.F.
Jornada 9 (Fecha: 16/10/2011),,
Local,Marcador,Visitante
C.E. SABADELL F.C..,1 - 0 ,A.D. ALCORCON
F.C. BARCELONA B,1 - 2 ,C.D. GUADALAJARA
HERCULES C.F.,1 - 0 ,C.D. ALCOYANO
R.C. DEPORTIVO DE LA CORUÑA,2 - 2 ,GIMNASTIC DE TARRAGONA
F.C. CARTAGENA,0 - 0 ,CORDOBA C.F.
VILLARREAL C.F. B,2 - 2 ,GIRONA F.C.
S.D. HUESCA,2 - 2 ,REAL MURCIA C.F. SAD
XEREZ C.D. S.A.D.,3 - 3 ,R.C. CELTA DE VIGO
U.D. LAS PALMAS,1 - 1 ,ELCHE C.F.
C.D. NUMANCIA DE SORIA,1 - 0 ,U.D. ALMERIA
R.C.RVO. DE HUELVA,1 - 1 ,REAL VALLADOLID C.F.
Jornada 10 (Fecha: 23/10/2011),,
Local,Marcador,Visitante
A.D. ALCORCON,2 - 1 ,R.C.RVO. DE HUELVA
C.D. GUADALAJARA,1 - 0 ,C.E. SABADELL F.C..
C.D. ALCOYANO,1 - 4 ,F.C. BARCELONA B
GIMNASTIC DE TARRAGONA,0 - 1 ,HERCULES C.F.
CORDOBA C.F.,0 - 2 ,R.C. DEPORTIVO DE LA CORUÑA
GIRONA F.C.,0 - 2 ,F.C. CARTAGENA
REAL MURCIA C.F. SAD,3 - 1 ,VILLARREAL C.F. B
R.C. CELTA DE VIGO,4 - 0 ,S.D. HUESCA
ELCHE C.F.,1 - 0 ,XEREZ C.D. S.A.D.
U.D. ALMERIA,1 - 1 ,U.D. LAS PALMAS
REAL VALLADOLID C.F.,2 - 1 ,C.D. NUMANCIA DE SORIA
Jornada 11 (Fecha: 30/10/2011),,
Local,Marcador,Visitante
A.D. ALCORCON,1 - 0 ,C.D. GUADALAJARA
C.E. SABADELL F.C..,2 - 2 ,C.D. ALCOYANO
F.C. BARCELONA B,1 - 0 ,GIMNASTIC DE TARRAGONA
HERCULES C.F.,1 - 0 ,CORDOBA C.F.
R.C. DEPORTIVO DE LA CORUÑA,3 - 2 ,GIRONA F.C.
F.C. CARTAGENA,1 - 2 ,REAL MURCIA C.F. SAD
VILLARREAL C.F. B,2 - 3 ,R.C. CELTA DE VIGO
S.D. HUESCA,0 - 1 ,ELCHE C.F.
XEREZ C.D. S.A.D.,0 - 1 ,U.D. ALMERIA
U.D. LAS PALMAS,1 - 0 ,REAL VALLADOLID C.F.
R.C.RVO. DE HUELVA,1 - 1 ,C.D. NUMANCIA DE SORIA
Jornada 12 (Fecha: 06/11/2011),,
Local,Marcador,Visitante
C.D. GUADALAJARA,0 - 2 ,R.C.RVO. DE HUELVA
C.D. ALCOYANO,0 - 0 ,A.D. ALCORCON
GIMNASTIC DE TARRAGONA,5 - 0 ,C.E. SABADELL F.C..
CORDOBA C.F.,1 - 1 ,F.C. BARCELONA B
GIRONA F.C.,1 - 0 ,HERCULES C.F.
REAL MURCIA C.F. SAD,0 - 0 ,R.C. DEPORTIVO DE LA CORUÑA
R.C. CELTA DE VIGO,1 - 0 ,F.C. CARTAGENA
ELCHE C.F.,3 - 0 ,VILLARREAL C.F. B
U.D. ALMERIA,2 - 1 ,S.D. HUESCA
REAL VALLADOLID C.F.,2 - 1 ,XEREZ C.D. S.A.D.
C.D. NUMANCIA DE SORIA,3 - 2 ,U.D. LAS PALMAS
Jornada 13 (Fecha: 13/11/2011),,
Local,Marcador,Visitante
C.D. GUADALAJARA,1 - 1 ,C.D. ALCOYANO
A.D. ALCORCON,0 - 1 ,GIMNASTIC DE TARRAGONA
C.E. SABADELL F.C..,0 - 3 ,CORDOBA C.F.
F.C. BARCELONA B,2 - 2 ,GIRONA F.C.
HERCULES C.F.,0 - 1 ,REAL MURCIA C.F. SAD
R.C. DEPORTIVO DE LA CORUÑA,2 - 1 ,R.C. CELTA DE VIGO
F.C. CARTAGENA,1 - 1 ,ELCHE C.F.
VILLARREAL C.F. B,2 - 1 ,U.D. ALMERIA
S.D. HUESCA,2 - 2 ,REAL VALLADOLID C.F.
XEREZ C.D. S.A.D.,1 - 2 ,C.D. NUMANCIA DE SORIA
R.C.RVO. DE HUELVA,4 - 2 ,U.D. LAS PALMAS
Jornada 14 (Fecha: 20/11/2011),,
Local,Marcador,Visitante
C.D. ALCOYANO,2 - 1 ,R.C.RVO. DE HUELVA
GIMNASTIC DE TARRAGONA,0 - 0 ,C.D. GUADALAJARA
CORDOBA C.F.,3 - 1 ,A.D. ALCORCON
GIRONA F.C.,1 - 1 ,C.E. SABADELL F.C..
REAL MURCIA C.F. SAD,0 - 2 ,F.C. BARCELONA B
R.C. CELTA DE VIGO,0 - 1 ,HERCULES C.F.
ELCHE C.F.,3 - 2 ,R.C. DEPORTIVO DE LA CORUÑA
U.D. ALMERIA,0 - 0 ,F.C. CARTAGENA
REAL VALLADOLID C.F.,2 - 1 ,VILLARREAL C.F. B
C.D. NUMANCIA DE SORIA,1 - 1 ,S.D. HUESCA
U.D. LAS PALMAS,0 - 0 ,XEREZ C.D. S.A.D.
Jornada 15 (Fecha: 27/11/2011),,
Local,Marcador,Visitante
C.D. ALCOYANO,0 - 0 ,GIMNASTIC DE TARRAGONA
C.D. GUADALAJARA,3 - 1 ,CORDOBA C.F.
A.D. ALCORCON,1 - 0 ,GIRONA F.C.
C.E. SABADELL F.C..,2 - 2 ,REAL MURCIA C.F. SAD
F.C. BARCELONA B,2 - 1 ,R.C. CELTA DE VIGO
HERCULES C.F.,1 - 2 ,ELCHE C.F.
R.C. DEPORTIVO DE LA CORUÑA,3 - 1 ,U.D. ALMERIA
F.C. CARTAGENA,0 - 0 ,REAL VALLADOLID C.F.
VILLARREAL C.F. B,0 - 0 ,C.D. NUMANCIA DE SORIA
S.D. HUESCA,2 - 0 ,U.D. LAS PALMAS
R.C.RVO. DE HUELVA,1 - 2 ,XEREZ C.D. S.A.D.
Jornada 16 (Fecha: 04/12/2011),,
Local,Marcador,Visitante
GIMNASTIC DE TARRAGONA,1 - 2 ,R.C.RVO. DE HUELVA
CORDOBA C.F.,3 - 0 ,C.D. ALCOYANO
GIRONA F.C.,0 - 0 ,C.D. GUADALAJARA
REAL MURCIA C.F. SAD,0 - 2 ,A.D. ALCORCON
R.C. CELTA DE VIGO,4 - 1 ,C.E. SABADELL F.C..
ELCHE C.F.,3 - 0 ,F.C. BARCELONA B
U.D. ALMERIA,1 - 1 ,HERCULES C.F.
REAL VALLADOLID C.F.,0 - 0 ,R.C. DEPORTIVO DE LA CORUÑA
C.D. NUMANCIA DE SORIA,0 - 0 ,F.C. CARTAGENA
U.D. LAS PALMAS,3 - 1 ,VILLARREAL C.F. B
XEREZ C.D. S.A.D.,1 - 3 ,S.D. HUESCA
Jornada 17 (Fecha: 11/12/2011),,
Local,Marcador,Visitante
GIMNASTIC DE TARRAGONA,0 - 0 ,CORDOBA C.F.
C.D. ALCOYANO,2 - 1 ,GIRONA F.C.
C.D. GUADALAJARA,2 - 1 ,REAL MURCIA C.F. SAD
A.D. ALCORCON,0 - 0 ,R.C. CELTA DE VIGO
C.E. SABADELL F.C..,0 - 0 ,ELCHE C.F.
F.C. BARCELONA B,3 - 3 ,U.D. ALMERIA
HERCULES C.F.,2 - 2 ,REAL VALLADOLID C.F.
R.C. DEPORTIVO DE LA CORUÑA,3 - 1 ,C.D. NUMANCIA DE SORIA
F.C. CARTAGENA,0 - 0 ,U.D. LAS PALMAS
VILLARREAL C.F. B,3 - 1 ,XEREZ C.D. S.A.D.
R.C.RVO. DE HUELVA,1 - 1 ,S.D. HUESCA
Jornada 18 (Fecha: 18/12/2011),,
Local,Marcador,Visitante
XEREZ C.D. S.A.D.,3 - 0 ,F.C. CARTAGENA
S.D. HUESCA,1 - 0 ,VILLARREAL C.F. B
CORDOBA C.F.,0 - 0 ,R.C.RVO. DE HUELVA
GIRONA F.C.,3 - 2 ,GIMNASTIC DE TARRAGONA
REAL MURCIA C.F. SAD,3 - 2 ,C.D. ALCOYANO
R.C. CELTA DE VIGO,2 - 0 ,C.D. GUADALAJARA
ELCHE C.F.,6 - 0 ,A.D. ALCORCON
U.D. ALMERIA,3 - 0 ,C.E. SABADELL F.C..
REAL VALLADOLID C.F.,1 - 0 ,F.C. BARCELONA B
C.D. NUMANCIA DE SORIA,2 - 1 ,HERCULES C.F.
U.D. LAS PALMAS,0 - 1 ,R.C. DEPORTIVO DE LA CORUÑA
Jornada 19 (Fecha: 08/01/2012),,
Local,Marcador,Visitante
CORDOBA C.F.,1 - 0 ,GIRONA F.C.
GIMNASTIC DE TARRAGONA,0 - 2 ,REAL MURCIA C.F. SAD
C.D. ALCOYANO,0 - 3 ,R.C. CELTA DE VIGO
C.D. GUADALAJARA,2 - 4 ,ELCHE C.F.
A.D. ALCORCON,1 - 1 ,U.D. ALMERIA
C.E. SABADELL F.C..,1 - 4 ,REAL VALLADOLID C.F.
