Jornada 1,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Mirandés,0 - 1,Huesca,Anduva,17 de agosto,19:00,Canal+ 1 y Canal+ 1 HD
Barcelona B,4 - 5,Almería,Mini Estadi,,,Esport3
Villarreal,3 - 1,Real Madrid Castilla,El Madrigal,,21:00,Marca TV
Girona,0 - 0,Sabadell,Montilivi,18 de agosto,19:00,Esport3
Lugo,1 - 0,Hércules,Anxo Carro,,,Marca TV
Xerez,2 - 0,Recreativo de Huelva,Chapín,,21:00,Marca TV
Real Racing Club de Santander,0 - 1,U. D. Las Palmas,El Sardinero,19 de agosto,19:00,Marca TV
Numancia de Soria,2 - 0,Real Sporting de Gijón,Los Pajaritos,,,Canal Telecable
Alcorcón,1 - 1,Guadajalara,Santo Domingo,,21:00,—
Elche,4 - 2,Ponferradina,Manuel Martínez Valero,,,—
Real Murcia,0 - 0,Córdoba,Nueva Condomina,20 de agosto,21:00,—
Jornada 2,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Almería,2 - 1,Xerez,Juegos Mediterráneos,24 de agosto,21:00,Marca TV
Sabadell,0 - 0,Villarreal,Nova Creu Alta,25 de agosto,19:00,Esport3
Guadalajara,1 - 5,Girona,Pedro Escartín,,,—
Ponferradina,2 - 0,Alcorcón,El Toralín,,,—
U. D. Las Palmas,1 - 1,Lugo,Gran Canaria,,,—
Real Sporting de Gijón,2 - 3,Real Murcia,El Molinón,,,Marca TV
Huesca,1 - 1,Numancia de Soria,El Alcoraz,,,—
Recreativo de Huelva,1 - 0,Mirandés,Nuevo Colombino,,,—
Real Madrid Castilla,3 - 2,Barcelona B,Alfredo Di Stéfano,,21:00,Canal+ 1 y Canal+ 1 HD
Hércules,1 - 2,Elche,José Rico Pérez,26 de agosto,20:00,Marca TV
Córdoba,2 - 0,Real Racing Club de Santander,Nuevo Arcángel,,22:00,Marca TV
Jornada 3,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Girona,1 - 0,Ponferradina,Montilivi,1 de septiembre,18:00,Esport3
Elche,3 - 1,U. D. Las Palmas,Manuel Martínez Valero,,,—
Lugo,1 - 1,Córdoba,Anxo Carro,,,—
Real Murcia,2 - 1,Huesca,Nueva Condomina,,,—
Numancia de Soria,0 - 0,Recreativo de Huelva,Los Pajaritos,,,—
Xerez,0 - 4,Mirandés,Chapín,,,—
Villarreal,2 - 1,Guadalajara,El Madrigal,,20:00,Marca TV
Almería,1 - 0,Real Madrid Castilla,Juegos Mediterráneos,,22:00,Marca TV
Real Racing Club de Santander,0 - 0,Real Sporting de Gijón,El Sardinero,2 de septiembre,12:00,Canal+ 1 y Canal+ 1 HD
Alcorcón,1 - 0,Hércules,Santo Domingo,,16:00,Marca TV
Barcelona B,2 - 0,Sabadell,Mini Estadi,,18:00,Esport3
Jornada 4,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Recreativo de Huelva,3 - 2,Real Murcia,Nuevo Colombino,8 de septiembre,16:00,Marca TV
Sabadell,3 - 0,Almería,Nova Creu Alta,,18:00,Esport3
Guadalajara,0 - 1,Barcelona B,Pedro Escartín,,,—
Ponferradina,0 - 1,Villarreal,El Toralín,,,—
Mirandés,0 - 0,Numancia de Soria,Anduva,,,—
U. D. Las Palmas,1 - 3,Alcorcón,Gran Canaria,,20:00,—
Hércules,2 - 1,Girona,José Rico Pérez,,,—
Real Madrid Castilla,3 - 2,Xerez,Alfredo Di Stéfano,,22:00,Marca TV
Córdoba,0 - 1,Elche,Nuevo Arcángel,9 de septiembre,12:00,Canal+ 1 y Canal+ 1 HD
Real Sporting de Gijón,1 - 1,Lugo,El Molinón,,18:00,—
Huesca,1 - 1,Real Racing Club de Santander,El Alcoraz,,,Marca TV
Jornada 5,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Madrid Castilla,2 - 3,Sabadell,Alfredo Di Stéfano,14 de septiembre,21:00,Marca TV
Almería,4 - 0,Guadalajara,Juegos Mediterráneos,15 de septiembre,18:00,—
Barcelona B,2 - 1,Ponferradina,Mini Estadi,,,Esport3
Alcorcón,2 - 1,Córdoba,Santo Domingo,,,—
Elche,2 - 1,Real Sporting de Gijón,Manuel Martínez Valero,,,Canal Telecable
Lugo,2 - 4,Huesca,Anxo Carro,,,—
Real Racing Club de Santander,3 - 0,Recreativo de Huelva,El Sardinero,,,Marca TV
Xerez,2 - 0,Numancia de Soria,Chapín,,,—
Real Murcia,2 - 2,Mirandés,Nueva Condomina,,20:00,Marca TV
Girona,5 - 0,U. D. Las Palmas,Montilivi,16 de septiembre,12:00,—
Villarreal,1 - 0,Hércules,El Madrigal,,20:30,Canal+ 1 y Canal+ 1 HD
Jornada 6,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Hércules,0 - 3,Barcelona B,José Rico Pérez,22 de septiembre,16:00,Marca TV
Sabadell,3 - 0,Xerez,Nova Creu Alta,,18:00,Esport3
Ponferradina,2 - 2,Almería,El Toralín,,,—
U. D. Las Palmas,2 - 2,Villarreal,Gran Canaria,,,Marca TV
Real Sporting de Gijón,2 - 1,Alcorcón,El Molinón,,,—
Huesca,0 - 0,Elche,El Alcoraz,,,—
Recreativo de Huelva,3 - 0,Lugo,Nuevo Colombino,,,—
Mirandés,0 - 1,Real Racing Club de Santander,Anduva,,,—
Guadalajara,3 - 4,Real Madrid Castilla,Pedro Escartín,,20:00,Marca TV
Córdoba,2 - 0,Girona,Nuevo Arcángel,,22:00,Marca TV
Numancia de Soria,1 - 0,Real Murcia,Los Pajaritos,23 de septiembre,12:00,Canal+ 1 y Canal+ 1 HD
Jornada 7,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Madrid Castilla,1 - 2,Ponferradina,Alfredo Di Stéfano,28 de septiembre,21:00,Marca TV
Girona,3 - 1,Real Sporting de Gijón,Montilivi,29 de septiembre,16:00,Esport3
Barcelona B,1 - 1,U. D. Las Palmas,Mini Estadi,,18:00,Esport3
Villarreal,2 - 0,Córdoba,El Madrigal,,,Marca TV
Alcorcón,1 - 0,Huesca,Santo Domingo,,,—
Lugo,2 - 0,Mirandés,Anxo Carro,,,—
Real Racing Club de Santander,1 - 1,Numancia de Soria,El Sardinero,,,—
Xerez,0 - 3,Real Murcia,Chapín,,,—
Sabadell,2 - 1,Guadalajara,Nova Creu Alta,,20:00,Esport3
Elche,3 - 0,Recreativo de Huelva,Manuel Martínez Valero,,,Marca TV
Almería,0 - 0,Hércules,Juegos Mediterráneos,30 de septiembre,20:30,Canal+ 1 y Canal+ 1 HD
Jornada 8,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Guadalajara,1 - 1,Xerez,Pedro Escartín,6 de octubre,18:00,—
Ponferradina,3 - 1,Sabadell,El Toralín,,,—
Córdoba,2 - 1,Barcelona B,Nuevo Arcángel,,,—
Huesca,0 - 0,Girona,El Alcoraz,,,Esport3
Recreativo de Huelva,4 - 2,Alcorcón,Nuevo Colombino,,,—
Mirandés,1 - 2,Elche,Anduva,,,Marca TV
Numancia de Soria,3 - 0,Lugo,Los Pajaritos,,,—
U. D. Las Palmas,1 - 2,Almería,Gran Canaria,,18:30,—
Real Murcia,1 - 0,Real Racing Club de Santander,Nueva Condomina,,20:00,Marca TV
Real Sporting de Gijón,2 - 0,Villarreal,El Molinón,7 de octubre,12:00,Canal+ 1 y Canal+ 1 HD
Hércules,2 - 4,Real Madrid Castilla,José Rico Pérez,8 de octubre,21:30,Marca TV
Jornada 9,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Guadalajara,2 - 0,Ponferradina,Pedro Escartín,13 de octubre,18:00,—
Barcelona B,3 - 0,Real Sporting de Gijón,Mini Estadi,,,Esport3
Alcorcón,4 - 0,Mirandés,Santo Domingo,,,—
